repeat_count,date,observer,details,ids,createdAt_samples
20,2026-01-05,محمد سعيد حسن محمد شرف,تم ملاحظه وجود توصيلات في كبل الكهرباء الخاص بماكينه الغسيل وقد يتسبب ذلك في صعق احد العمال بالكهرباء اثناء الاستخدام,DOB-2065 | DOB-5007 | DOB-5064 | DOB-5103 | DOB-5139 | DOB-5174 | DOB-5204 | DOB-5238 | DOB-5271 | DOB-5307 | DOB-5387 | DOB-5430 | DOB-5470 | DOB-5501 | DOB-5528 | DOB-5562 | DOB-5592 | DOB-5621 | DOB-5658 | DOB-5700,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه سقوط سقف البنل في وحده بليت التبريد,DOB-2067 | DOB-5009 | DOB-5066 | DOB-5105 | DOB-5141 | DOB-5176 | DOB-5206 | DOB-5240 | DOB-5273 | DOB-5309 | DOB-5389 | DOB-5432 | DOB-5472 | DOB-5503 | DOB-5530 | DOB-5564 | DOB-5594 | DOB-5623 | DOB-5660 | DOB-5702,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه احتمالية سقوط الكشاف داخل وحده بليت التبريد,DOB-2068 | DOB-5010 | DOB-5067 | DOB-5106 | DOB-5142 | DOB-5177 | DOB-5207 | DOB-5241 | DOB-5274 | DOB-5310 | DOB-5390 | DOB-5433 | DOB-5473 | DOB-5504 | DOB-5531 | DOB-5565 | DOB-5595 | DOB-5624 | DOB-5661 | DOB-5703,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه تلف حامل المظله علي رصيف 3,DOB-2069 | DOB-5011 | DOB-5068 | DOB-5107 | DOB-5143 | DOB-5178 | DOB-5208 | DOB-5242 | DOB-5275 | DOB-5311 | DOB-5391 | DOB-5434 | DOB-5474 | DOB-5505 | DOB-5532 | DOB-5566 | DOB-5596 | DOB-5625 | DOB-5662 | DOB-5704,2026-01-07
19,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه وجود جزئيه تالفه داخل وحده بليت التبريد,DOB-2066 | DOB-5008 | DOB-5065 | DOB-5104 | DOB-5140 | DOB-5175 | DOB-5205 | DOB-5239 | DOB-5272 | DOB-5308 | DOB-5388 | DOB-5431 | DOB-5471 | DOB-5502 | DOB-5529 | DOB-5563 | DOB-5593 | DOB-5622 | DOB-5701,2026-01-07
19,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه سقوط فيشه بجوار رصيف التحميل,DOB-2070 | DOB-5012 | DOB-5069 | DOB-5108 | DOB-5144 | DOB-5179 | DOB-5209 | DOB-5243 | DOB-5276 | DOB-5312 | DOB-5392 | DOB-5435 | DOB-5475 | DOB-5533 | DOB-5567 | DOB-5597 | DOB-5626 | DOB-5663 | DOB-5705,2026-01-07
19,2026-01-04,محمد سعيد حسن محمد شرف,تم ملاحظه عدم وجود كفر حمايه علي محابس الاسطوانات,DOB-2071 | DOB-5013 | DOB-5070 | DOB-5109 | DOB-5145 | DOB-5180 | DOB-5210 | DOB-5244 | DOB-5277 | DOB-5313 | DOB-5393 | DOB-5436 | DOB-5476 | DOB-5534 | DOB-5568 | DOB-5598 | DOB-5627 | DOB-5664 | DOB-5706,2026-01-07
17,2026-01-07,محمد سعيد حسن محمد شرف,تم ملاحظه كبل الكهرباء الخاص بماتور نقل المنتج علي الارض بسبب تلف التريه,DOB-2072 | DOB-5014 | DOB-5071 | DOB-5110 | DOB-5146 | DOB-5181 | DOB-5211 | DOB-5245 | DOB-5278 | DOB-5314 | DOB-5394 | DOB-5437 | DOB-5477 | DOB-5535 | DOB-5569 | DOB-5628 | DOB-5665,2026-01-07
15,2026-01-07,محمد سعيد حسن محمد شرف,تم ملاحظه انه يوجد عدد كبير من التلفيات في خرطوم التعقيم أمام النفق وقد يؤدئ الي اصابه العاملين اثناء الاستخدام,DOB-2073 | DOB-5015 | DOB-5072 | DOB-5111 | DOB-5147 | DOB-5212 | DOB-5246 | DOB-5279 | DOB-5315 | DOB-5395 | DOB-5438 | DOB-5478 | DOB-5536 | DOB-5629 | DOB-5666,2026-01-07
6,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود كميه كبيره من المياه أسفل الميزان,DOB-2082 | DOB-5024 | DOB-5324 | DOB-5404 | DOB-5447 | DOB-5675,2026-01-08
5,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه ان السلم غير صالح للاستخدام لعدم توفير الميول الازم له وقد يؤدئ الي سقوط احد العمال اثناء الاستخدام,DOB-2083 | DOB-5025 | DOB-5325 | DOB-5405 | DOB-5676,2026-01-08
4,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود حواف حاده في المخارج الخاصه  يماكينه تدريج البروكلي الجديده,DOB-2084 | DOB-5026 | DOB-5326 | DOB-5406,2026-01-08
4,2026-01-08,محمد سعيد حسن محمد شرف,حادث وشيك تم ملاحظه وجود بالته داخل الثلاجه 703 احد الارجل الخاصه بها تالفا وقد تتسبب في سقوط الباليتات,DOB-2085 | DOB-5027 | DOB-5327 | DOB-5407,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود كرتونه علي بالته في الاعلي غير مغلفه مع الكراتين الأخري وقد يؤدئ ذالك الي سقوط الكرتونه وقد تتسبب في حدوث أصابه جسيمة,DOB-2086 | DOB-5028 | DOB-5328,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود بلاتات غير منظمه في رص المنتج عليها وقد يتسبب ذلك في سقوط المنتج,DOB-2087 | DOB-5029 | DOB-5329,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود بلاتات هائله الي السقوط لعدم وضعها بطريقة صحيحة,DOB-2088 | DOB-5030 | DOB-5330,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود بلاتات يتم وضعها بطريقة غير صحيحة وقد يؤدئ ذالك الي سقوط البلتات,DOB-2089 | DOB-5031 | DOB-5331,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود بلته تم وضعها بطريقة غير صحيحة,DOB-2090 | DOB-5032 | DOB-5332,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلف في ارجل البلتات,DOB-2091 | DOB-5033 | DOB-5333,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه وجود بعض البلتات يتم وضعها بطريقة غير صحيحة بسبب تالف البلتات الموجود اسفل منها,DOB-2092 | DOB-5034 | DOB-5334,2026-01-08
3,2026-01-08,محمد سعيد حسن محمد شرف,تم ملاحظه ترك منتج علي الارض وذالك قد يتسبب في سقوط احد العمال اثناء الحركه,DOB-2093 | DOB-5035 | DOB-5335,2026-01-08
3,2026-04-18,محمد سعيد حسن محمد شرف,تم ملاحظه تلف كشاف الاضاءه,DOB-3563 | DOB-3564 | DOB-3578,2026-04-20 07:55:30 | 2026-04-20 07:57:30 | 2026-04-21 05:59:28
2,2026-01-26,محمد سعيد حسن محمد شرف,تم ملاحظه سقوط الحساس الموجود علي الباب,DOB-2287 | DOB-2288,2026-01-27 | 2026-01-28
2,2026-02-26,محمد سعيد حسن محمد شرف,تم ملاحظه سقوط الفيشه,DOB-2602 | DOB-2603,2026-02-27
2,2026-02-28,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلفيات في أحد الترابيزات,DOB-2620 | DOB-2623,2026-03-01
2,2026-03-01,محمد سعيد حسن محمد شرف,تم ملاحظه وجود حواف حاده في ارجل احد الترابيزات,DOB-2637 | DOB-2641,2026-03-01
2,2026-03-03,محمد سعيد حسن محمد شرف,تم ملاحظه وجود كبل ارس ارضي غير مثبت,DOB-2673 | DOB-2680,2026-03-04
2,2026-03-03,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلفيات وحواف حاده,DOB-2677 | DOB-2683,2026-03-04
2,2026-03-26,محمد سعيد حسن محمد شرف,تم ملاحظه تلف كشاف الاضاءه,DOB-2948 | DOB-2949,2026-03-27
2,2026-04-07,محمد سعيد حسن محمد شرف,تم ملاحظه وجود بالكات تم وضعها بطريقة غير صحيحة,DOB-3040 | DOB-3041,2026-04-08
2,2026-04-15,محمد سعيد حسن محمد شرف,تم ملاحظه وجود حواف حاده علي خط 3,DOB-3411 | DOB-3412,2026-04-16 10:57:27 | 2026-04-16 10:58:28
2,2026-04-19,محمد سعيد حسن محمد شرف,تم ملاحظه وجود حواف حاده في احد الترابيزات,DOB-3557 | DOB-3559,2026-04-20 07:37:28 | 2026-04-20 07:46:27
2,2026-05-04,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلفيات في الحائط,DOB-3870 | DOB-3878,2026-05-06 06:55:27 | 2026-05-06 07:10:28
2,2026-05-04,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلفيات في اسفل الحائط,DOB-3879 | DOB-3880,2026-05-06 07:13:28 | 2026-05-06 07:23:26
2,2026-05-13,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلفيات في أحد الأجزاء الخاصة بالانتاج,DOB-4037 | DOB-4038,2026-05-14 05:09:26 | 2026-05-14 05:11:26
